,상품명,url,tags
28,세미 와이드 히든 밴딩 슬랙스 [미디엄 그레이],https://www.musinsa.com/app/goods/1224095,"['#루즈핏', '#밴딩슬랙스', '#셋업팬츠', '#와이드핏', '#정장바지', '#퍼펙트슬랙스', '#밴딩', '#와이드', '#무탠픽업']"
29,스웨트셔츠 [블랙],https://www.musinsa.com/app/goods/947067,"['#기본', '#베이직', '#스웨트셋업', '#스웨트컬렉션', '#이지웨어', '#트레이닝복', '#무지', '#무탠픽업']"
30,[힛탠다드 이벤트] 힛탠다드 우먼즈 타이즈 [블랙],https://www.musinsa.com/app/goods/1639242,"['#동내의', '#내복', '#이너웨어', '#기능성', '#발열', '#기모', '#히트', '#언더웨어', '#무신사스탠다드우먼즈', '#힛탠다드']"
31,[유아인 착용 상품] 캐시미어 블렌드 오버사이즈 싱글 코트...,https://www.musinsa.com/app/goods/865862,"['#롱코트', '#루즈핏', '#오버핏', '#울코트', '#코트컬렉션', '#무탠픽업', '#유아인착용상품', '#겨울아우터']"
32,라운지 스웨트 팬츠 [멜란지 그레이],https://www.musinsa.com/app/goods/1212777,"['#스웨트셋업', '#스웨트컬렉션', '#이지웨어', '#트랙팬츠', '#트레이닝팬츠', '#셋업', '#무탠픽업', '#시즌오프캐주얼팬츠']"
33,크루 삭스 7팩 [화이트],https://www.musinsa.com/app/goods/746158,"['#기능성', '#발목양말', '#삭스', '#쿠션양말', '#풋웨어', '#세트상품', '#ACC']"
34,[힛탠다드 이벤트] 힛탠다드 우먼즈 크루 넥 티셔츠 [블랙...,https://www.musinsa.com/app/goods/1639757,"['#동내의', '#내복', '#이너웨어', '#기능성', '#발열', '#기모', '#히트', '#언더웨어', '#무신사스탠다드우먼즈', '#힛탠다드']"
35,후디드 스웨트 집업 [멜란지 그레이],https://www.musinsa.com/app/goods/947088,"['#베이직', '#스웨트셋업', '#스웨트컬렉션', '#이지웨어', '#집업재킷', '#트레이닝복', '#단독후디', '#베이식', '#환절기아우터']"
36,라운지 스웨트 팬츠 [블랙],https://www.musinsa.com/app/goods/1212776,"['#스웨트셋업', '#스웨트컬렉션', '#이지웨어', '#트랙팬츠', '#트레이닝팬츠', '#무탠픽업', '#시즌오프캐주얼팬츠']"
37,무신사 스탠다드 하의용 옷걸이 8팩 [블랙],https://www.musinsa.com/app/goods/1136909,"['#라이프스타일', '#생활용품', '#행거', '#세트상품']"
38,라이트웨이트 미들 삭스 7팩 [화이트],https://www.musinsa.com/app/goods/1094748,"['#면양말', '#얇은양말', '#양말', '#여름양말', '#커플양말', '#팩양말', '#라이트웨이트', '#세트상품']"
39,페이크 삭스 7팩 [화이트],https://www.musinsa.com/app/goods/792919,"['#덧신', '#데일리양말', '#얇은양말', '#여름양말', '#캐주얼양말', '#팩양말', '#삭스', '#세트상품']"
40,우먼즈 베이식 크루 넥 반팔 티셔츠 [화이트],https://www.musinsa.com/app/goods/1417691,"['#기본티', '#라운드넥', '#무신사스탠다드우먼즈', '#무지티', '#여름티', '#MU-T', '#반소매']"
41,[유아인 착용 상품] 리얼 와이드 히든 밴딩 슬랙스 [블랙...,https://www.musinsa.com/app/goods/1168922,"['#루즈핏', '#밴딩슬랙스', '#셋업팬츠', '#와이드핏', '#정장바지', '#퍼펙트슬랙스', '#밴딩', '#와이드', '#유아인착장상품']"
42,릴렉스 핏 옥스포드 셔츠 [화이트],https://www.musinsa.com/app/goods/854337,"['#옥스포드셔츠', '#긴팔셔츠', '#남방', '#기본셔츠', '#무탠픽업', '#긴소매셔츠', '#셔츠컬렉션']"
43,릴렉스 핏 크루 넥 반팔 티셔츠 2팩,https://www.musinsa.com/app/goods/2034137,"['#MU-T', '#기본티', '#무지티', '#라운드넥', '#면티셔츠', '#반팔티', '#세트상품', '#무지', '#티셔츠컬렉션']"
44,베이식 옥스포드 셔츠 [화이트],https://www.musinsa.com/app/goods/728000,"['#레귤러핏', '#긴팔셔츠', '#남방', '#기본셔츠', '#무탠픽업', '#긴소매셔츠', '#셔츠컬렉션']"
45,라이트웨이트 테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],https://www.musinsa.com/app/goods/1323968,"['#라이트웨이트컬렉션', '#셋업', '#퍼펙트슬랙스', '#허리밴딩', '#정장바지', '#여름슬랙스', '#라이트웨이트']"
46,[쿨탠다드] 테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],https://www.musinsa.com/app/goods/1440874,"['#여름바지', '#여름슬랙스', '#정장바지', '#밴딩', '#테이퍼드', '#퍼펙트슬랙스', '#쿨맥스']"
47,폰테 크루 넥 긴팔 티셔츠 [블랙],https://www.musinsa.com/app/goods/1190268,"['#기본티', '#라운드넥', '#무지티', '#MU-T', '#긴팔티', '#무탠픽업', '#긴소매티']"
